"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/","1","Get a $25 Cash Bonus When You Sign Up with our Wealthsimple Referral Code","73","Indexable",""
"https://wealthsimplebonus.ca/fr","1","Obtenez une prime de 25 $ en argent en vous inscrivant avec notre code de parrainage Wealthsimple","97","Indexable",""
"https://wealthsimplebonus.ca/blog/core-vs-premium-vs-generation","1","Wealthsimple Core vs Premium vs Generation: Complete Tier Comparison (2026)","75","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","1","Code de parrainage Wealthsimple 2026 : Obtenez 25 $ en prime (Guide ultime)","75","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","1","Conditions générales de la prime de parrainage Wealthsimple expliquées (2026)","77","Indexable",""
"https://wealthsimplebonus.ca/blog/promo-code-vs-referral-code","1","Wealthsimple Promo Code 2026: Best Current Promotions & Referral Bonus Guide","76","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","1","Comment ajouter un code de parrainage Wealthsimple après l'inscription (Guide 2026)","83","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/code-promo-vs-code-parrainage","1","Code promo Wealthsimple 2026 : Meilleures promotions actuelles et guide des primes de parrainage","96","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","1","Défi de l'échelle de parrainage Wealthsimple 2026 : Gagnez jusqu'à 5 000 $","74","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/evaluation-compte-wealthsimple-comptant","1","Évaluation du compte Wealthsimple Cash 2026 : Taux d'intérêt, fonctionnalités et carte","86","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/evaluation-wealthsimple-impot-2025","1","Évaluation Wealthsimple Impôt 2026 : Production d'impôts gratuite pour les Canadiens","84","Indexable",""
