"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/contact","1","Contact - Get in Touch","22","198","Indexable",""
"https://wealthsimplebonus.ca/about","1","About Wealthsimple Bonus","24","241","Indexable",""
"https://wealthsimplebonus.ca/terms","1","Terms of Service","16","151","Indexable",""
"https://wealthsimplebonus.ca/blog","1","Blog","4","40","Indexable",""
"https://wealthsimplebonus.ca/privacy","1","Privacy Policy","14","124","Indexable",""
"https://wealthsimplebonus.ca/tag/usd5000-bonus","1","Posts by tag '$5000 bonus'","26","238","Indexable",""
"https://wealthsimplebonus.ca/tag/referral-code","1","Posts by tag 'referral code'","28","237","Indexable",""
"https://wealthsimplebonus.ca/tag/high-net-worth","1","Posts by tag 'high net worth'","29","250","Indexable",""
"https://wealthsimplebonus.ca/tag/crypto-trading","1","Posts by tag 'crypto trading'","29","247","Indexable",""
"https://wealthsimplebonus.ca/tag/bitcoin-canada","1","Posts by tag 'bitcoin canada'","29","254","Indexable",""
"https://wealthsimplebonus.ca/category/comparisons","1","Category 'Comparisons'","22","212","Indexable",""
"https://wealthsimplebonus.ca/category/referral-codes","1","Category 'Referral Codes'","25","225","Indexable",""
"https://wealthsimplebonus.ca/fr/confidentialite","1","Politique de confidentialité","28","238","Indexable",""
"https://wealthsimplebonus.ca/fr/conditions","1","Conditions d'utilisation","24","205","Indexable",""
"https://wealthsimplebonus.ca/fr/contact","1","Contact - Nous joindre","22","200","Indexable",""
"https://wealthsimplebonus.ca/category/reviews","1","Category 'Reviews'","18","166","Indexable",""
"https://wealthsimplebonus.ca/tag/trading-fees","1","Posts by tag 'trading fees'","27","229","Indexable",""
"https://wealthsimplebonus.ca/tag/canadian-taxes","1","Posts by tag 'canadian taxes'","29","258","Indexable",""
"https://wealthsimplebonus.ca/category/guides","1","Category 'Guides'","17","154","Indexable",""
