"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://help.wealthsimple.com/hc/en-ca/articles/4404648335523","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.074","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4404646552347","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.243","",""
"https://www.ciro.ca/investors/choosing-investment-advisor/regulated-firms","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.022","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4415114284315","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.069","",""
"https://www.cdic.ca/your-coverage/whats-not-covered/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0.668","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4408285991579","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","2","0.066","",""
"https://help.wealthsimple.com/hc/en-ca/articles/360058459793","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.069","",""
"https://www.osc.ca/en/industry/registration-and-compliance/crypto-asset-trading-platforms","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0.865","",""
"https://www.wealthsimple.com/en-ca/legal/referral-program","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.260","",""
"https://www.wealthsimple.com/en-ca/legal/referral-program-terms","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","3","0.323","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4404646483355","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.061","",""
"https://help.wealthsimple.com/hc/en-ca/articles/1500003503661","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","2","0.060","",""
"https://help.wealthsimple.com/hc/fr-ca","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.070","",""
"https://help.wealthsimple.com/hc/en-ca/articles/1260803566110","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.063","",""
"https://help.wealthsimple.com/hc/en-ca/articles/19154942940059","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.076","",""
"https://help.wealthsimple.com/hc/en-ca/articles/360056543874","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.080","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4405906843931","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.053","",""
"https://financialpost.com/personal-finance/investing/canadian-banks-fight-for-wealth-transfers","text/html","403","Forbidden","Non-Indexable","Client Error","1","0.085","",""
"https://www.wealthsimple.com/en-ca/legal/referral-ladder-challenge-terms","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.338","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4408576949787","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.061","",""
"https://www.questrade.com/about-us/programs/refer-a-friend","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.054","",""
"https://www.wealthsimple.com/en-ca/product/credit-card","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.209","",""
"https://www.questrade.com/learning/questrade-basics/administrative-fees/ecn-fees","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.090","",""
"https://www.questrade.com/pricing/exchange-rates","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.056","",""
"https://www.questrade.com/questwealth-portfolios/pricing","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.081","",""
"https://www.theglobeandmail.com/investing/markets/inside-the-market/article-questrade-commission-free-trading/","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.514","",""
"https://help.wealthsimple.com/hc/en-ca/articles/1500012838081","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.063","",""
"https://www.canada.ca/en/financial-consumer-agency/services/banking/foreign-currency-conversion.html","text/html;charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.093","",""
"https://www.wealthsimple.com/en-ca/generation","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.266","",""
"https://www.cdic.ca/your-coverage/how-deposit-insurance-works/wealthsimple-partnership/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0.658","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4409328222107","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.055","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4409324100507","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.069","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4409323547419","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.072","",""
"https://help.wealthsimple.com/hc/en-ca/articles/4409328224795","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.073","",""
"https://help.wealthsimple.com/hc/en-ca/articles/360058461433","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.299","",""
