"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://wealthsimplebonus.ca/blog/add-referral-code-after-signup","https://help.wealthsimple.com/hc/en-ca/articles/4404648335523","0","","https://help.wealthsimple.com/hc/en-ca/articles/4404648335523","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-3']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/add-referral-code-after-signup","https://help.wealthsimple.com/hc/en-ca/articles/4404646552347","0","","https://help.wealthsimple.com/hc/en-ca/articles/4404646552347","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-2']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","https://www.ciro.ca/investors/choosing-investment-advisor/regulated-firms","0","","https://www.ciro.ca/investors/choosing-investment-advisor/regulated-firms","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-4']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","https://help.wealthsimple.com/hc/en-ca/articles/4415114284315","0","","https://help.wealthsimple.com/hc/en-ca/articles/4415114284315","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-7']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","https://help.wealthsimple.com/hc/en-ca/articles/4408285991579","0","","https://help.wealthsimple.com/hc/en-ca/articles/4408285991579","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-2']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","https://help.wealthsimple.com/hc/en-ca/articles/4408285991579","0","","https://help.wealthsimple.com/hc/en-ca/articles/4408285991579","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-4']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","https://help.wealthsimple.com/hc/en-ca/articles/360058459793","0","","https://help.wealthsimple.com/hc/en-ca/articles/360058459793","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-3']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","https://www.cdic.ca/your-coverage/whats-not-covered/","20431","","https://www.cdic.ca/your-coverage/whats-not-covered/","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-5']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","https://www.osc.ca/en/industry/registration-and-compliance/crypto-asset-trading-platforms","0","","https://www.osc.ca/en/industry/registration-and-compliance/crypto-asset-trading-platforms","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-6']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","https://www.wealthsimple.com/en-ca/legal/referral-program","0","","https://www.wealthsimple.com/en-ca/legal/referral-program","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-5']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/referral-bonus-terms-conditions","https://help.wealthsimple.com/hc/en-ca/articles/4404646483355","0","","https://help.wealthsimple.com/hc/en-ca/articles/4404646483355","403","Forbidden","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-3']/p/a[1]","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/blog/referral-bonus-terms-conditions","https://www.wealthsimple.com/en-ca/legal/referral-program-terms","0","","https://www.wealthsimple.com/en-ca/legal/referral-program-terms","404","Not Found","true","","","Absolute","//body/main/section[1]/article/div[1]/section/ol/li[@id='user-content-fn-1']/p/a[1]","Content","HTML"
