"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://wealthsimplebonus.ca/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/","index,follow",""
"https://wealthsimplebonus.ca/contact","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/contact","index,follow",""
"https://wealthsimplebonus.ca/_astro/wealthsimple-crypto-vs-newton-vs-shakepay.BhNWIdjw.png","image/png","200","OK","1.1","Indexable","","","",""
"https://wealthsimplebonus.ca/terms","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/terms","index,follow",""
"https://wealthsimplebonus.ca/fr","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/fr","index,follow",""
"https://wealthsimplebonus.ca/about","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/about","index,follow",""
"https://wealthsimplebonus.ca/blog/referral-bonus-terms-conditions","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/blog/referral-bonus-terms-conditions","index,follow",""
"https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","index,follow",""
"https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","index,follow",""
"https://wealthsimplebonus.ca/blog","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/blog","index,follow",""
"https://wealthsimplebonus.ca/images/en/wealthsimple-referral-code-9c6dmq.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://wealthsimplebonus.ca/_astro/referral-bonus-terms-conditions.DAreNNc5.png","image/png","200","OK","1.1","Indexable","","","",""
"https://wealthsimplebonus.ca/blog/add-referral-code-after-signup","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/blog/add-referral-code-after-signup","index,follow",""
"https://wealthsimplebonus.ca/privacy","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/privacy","index,follow",""
"https://wealthsimplebonus.ca/images/en/wealthsimple-add-referral-code-9c6dmq-after-signup.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://wealthsimplebonus.ca/_astro/conditions.C3xzf7IY.css","text/css; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://wealthsimplebonus.ca/how-it-works","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/how-it-works","index,follow",""
"https://wealthsimplebonus.ca/tag/usd5000-bonus","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/usd5000-bonus","index,follow",""
"https://wealthsimplebonus.ca/tag/existing-clients","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/existing-clients","index,follow",""
"https://wealthsimplebonus.ca/tag/referral-code","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/referral-code","index,follow",""
"https://wealthsimplebonus.ca/tag/bonus-comparison","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/bonus-comparison","index,follow",""
"https://wealthsimplebonus.ca/tag/wealthsimple-promotions","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/wealthsimple-promotions","index,follow",""
"https://wealthsimplebonus.ca/tag/portfolio-transfer","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/portfolio-transfer","index,follow",""
"https://wealthsimplebonus.ca/tag/high-net-worth","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/high-net-worth","index,follow",""
"https://wealthsimplebonus.ca/tag/add-referral-code","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/add-referral-code","index,follow",""
"https://wealthsimplebonus.ca/blog/2","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://wealthsimplebonus.ca/blog/2","noindex,follow",""
"https://wealthsimplebonus.ca/tag/wealthsimple-referral-ladder","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/wealthsimple-referral-ladder","index,follow",""
"https://wealthsimplebonus.ca/tag/wealthsimple-crypto","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/wealthsimple-crypto","index,follow",""
"https://wealthsimplebonus.ca/_astro/wealthsimple-vs-questrade-2025.j6tt_9H0.png","image/png","200","OK","1.1","Indexable","","","",""
"https://wealthsimplebonus.ca/tag/newton-vs-shakepay","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://wealthsimplebonus.ca/tag/newton-vs-shakepay","index,follow",""
